version,condition_uid,aa_ageband,sex,analysis_type,aaf
aaf_2007_ni39,1,00-15 Yrs,F,morbidity,1
aaf_2007_ni39,1,16-24 Yrs,F,morbidity,1
aaf_2007_ni39,1,25-34 Yrs,F,morbidity,1
aaf_2007_ni39,1,35-44 Yrs,F,morbidity,1
aaf_2007_ni39,1,45-54 Yrs,F,morbidity,1
aaf_2007_ni39,1,55-64 Yrs,F,morbidity,1
aaf_2007_ni39,1,65-74 Yrs,F,morbidity,1
aaf_2007_ni39,1,75+ Yrs,F,morbidity,1
aaf_2007_ni39,1,00-15 Yrs,M,morbidity,1
aaf_2007_ni39,1,16-24 Yrs,M,morbidity,1
aaf_2007_ni39,1,25-34 Yrs,M,morbidity,1
aaf_2007_ni39,1,35-44 Yrs,M,morbidity,1
aaf_2007_ni39,1,45-54 Yrs,M,morbidity,1
aaf_2007_ni39,1,55-64 Yrs,M,morbidity,1
aaf_2007_ni39,1,65-74 Yrs,M,morbidity,1
aaf_2007_ni39,1,75+ Yrs,M,morbidity,1
aaf_2007_ni39,1,00-15 Yrs,F,mortality,1
aaf_2007_ni39,1,16-24 Yrs,F,mortality,1
aaf_2007_ni39,1,25-34 Yrs,F,mortality,1
aaf_2007_ni39,1,35-44 Yrs,F,mortality,1
aaf_2007_ni39,1,45-54 Yrs,F,mortality,1
aaf_2007_ni39,1,55-64 Yrs,F,mortality,1
aaf_2007_ni39,1,65-74 Yrs,F,mortality,1
aaf_2007_ni39,1,75+ Yrs,F,mortality,1
aaf_2007_ni39,1,00-15 Yrs,M,mortality,1
aaf_2007_ni39,1,16-24 Yrs,M,mortality,1
aaf_2007_ni39,1,25-34 Yrs,M,mortality,1
aaf_2007_ni39,1,35-44 Yrs,M,mortality,1
aaf_2007_ni39,1,45-54 Yrs,M,mortality,1
aaf_2007_ni39,1,55-64 Yrs,M,mortality,1
aaf_2007_ni39,1,65-74 Yrs,M,mortality,1
aaf_2007_ni39,1,75+ Yrs,M,mortality,1
aaf_2007_ni39,2,00-15 Yrs,F,morbidity,1
aaf_2007_ni39,2,16-24 Yrs,F,morbidity,1
aaf_2007_ni39,2,25-34 Yrs,F,morbidity,1
aaf_2007_ni39,2,35-44 Yrs,F,morbidity,1
aaf_2007_ni39,2,45-54 Yrs,F,morbidity,1
aaf_2007_ni39,2,55-64 Yrs,F,morbidity,1
