version,condition_uid
ccg_ois_26,1
ccg_ois_26,2
ccg_ois_26,3
ccg_ois_26,4
ccg_ois_26,5
ccg_ois_26,6
ccg_ois_26,7
ccg_ois_26,8
ccg_ois_26,9
ccg_ois_26,10
ccg_ois_26,11
ccg_ois_26,12
ccg_ois_26,13
ccg_ois_26,14
ccg_ois_26,15
ccg_ois_26,16
ccg_ois_26,17
ccg_ois_26,18
ccg_ois_26,19
ccg_ois_26,20
ccg_ois_26,21
ccg_ois_26,22
ccg_ois_26,23
ccg_ois_26,24
ccg_ois_26,25
ccg_ois_26,26
ccg_ois_26,27
ccg_ois_26,28
ccg_ois_26,29
ccg_ois_26,30
ccg_ois_26,31
ccg_ois_26,32
ccg_ois_26,33
ccg_ois_26,34
ccg_ois_26,35
