condition_uid,icd10
1,E244
2,F100
2,F101
2,F102
2,F103
2,F104
2,F105
2,F106
2,F107
2,F108
2,F109
2,F10X
2,F10
3,G312
4,G621
5,G721
6,I426
7,K292
8,K700
8,K701
8,K702
8,K703
8,K704
8,K705
8,K706
8,K707
8,K708
8,K709
8,K70X
8,K70
9,K852
10,K860
11,Q860
12,R780
13,T510
14,T511
15,T519
16,X450
16,X451
16,X452
16,X453
16,X454
16,X455
16,X456
16,X457
16,X458
16,X459
16,X45X
16,X45
17,X650
17,X651
17,X652
17,X653
17,X654
17,X655
17,X656
17,X657
17,X658
17,X659
17,X65X
17,X65
18,Y150
18,Y151
18,Y152
18,Y153
18,Y154
18,Y155
18,Y156
18,Y157
18,Y158
18,Y159
18,Y15X
18,Y15
19,Y900
19,Y901
19,Y902
19,Y903
19,Y904
19,Y905
19,Y906
19,Y907
19,Y908
19,Y909
19,Y90X
19,Y90
20,Y910
20,Y911
20,Y912
20,Y913
20,Y914
20,Y915
20,Y916
20,Y917
20,Y918
20,Y919
20,Y91X
20,Y91
21,A150
21,A151
21,A152
21,A153
21,A154
21,A155
21,A156
21,A157
21,A158
21,A159
21,A15X
21,A15
21,A160
21,A161
21,A162
21,A163
21,A164
21,A165
21,A166
21,A167
21,A168
21,A169
21,A16X
21,A16
21,A170
21,A171
21,A172
21,A173
21,A174
21,A175
21,A176
21,A177
21,A178
21,A179
21,A17X
21,A17
21,A180
21,A181
21,A182
21,A183
21,A184
21,A185
21,A186
21,A187
21,A188
21,A189
21,A18X
21,A18
21,A190
21,A191
21,A192
21,A193
21,A194
21,A195
21,A196
21,A197
21,A198
21,A199
21,A19X
21,A19
22,C000
22,C001
22,C002
22,C003
22,C004
22,C005
22,C006
22,C007
22,C008
22,C009
22,C00X
22,C00
22,C010
22,C011
22,C012
22,C013
22,C014
22,C015
22,C016
22,C017
22,C018
22,C019
22,C01X
22,C01
22,C020
22,C021
22,C022
22,C023
22,C024
22,C025
22,C026
22,C027
22,C028
22,C029
22,C02X
22,C02
22,C030
22,C031
22,C032
22,C033
22,C034
22,C035
22,C036
22,C037
22,C038
22,C039
22,C03X
22,C03
22,C040
22,C041
22,C042
22,C043
22,C044
22,C045
22,C046
22,C047
22,C048
22,C049
22,C04X
22,C04
22,C050
22,C051
22,C052
22,C053
22,C054
22,C055
22,C056
22,C057
22,C058
22,C059
22,C05X
22,C05
22,C060
22,C061
22,C062
22,C063
22,C064
22,C065
22,C066
22,C067
22,C068
22,C069
22,C06X
22,C06
22,C070
22,C071
22,C072
22,C073
22,C074
22,C075
22,C076
22,C077
