condition_uid,icd10
1,B180
2,B181
3,D501
4,D508
5,D509
6,D510
6,D511
6,D512
6,D513
6,D514
6,D515
6,D516
6,D517
6,D518
6,D519
6,D51X
6,D51
7,D520
7,D521
7,D522
7,D523
7,D524
7,D525
7,D526
7,D527
7,D528
7,D529
7,D52X
7,D52
8,E100
8,E101
8,E102
8,E103
8,E104
8,E105
8,E106
8,E107
8,E108
8,E109
8,E10X
8,E10
9,E110
9,E111
9,E112
9,E113
9,E114
9,E115
9,E116
9,E117
9,E118
9,E119
9,E11X
9,E11
10,E120
10,E121
10,E122
10,E123
10,E124
10,E125
10,E126
10,E127
10,E128
10,E129
10,E12X
10,E12
11,E130
11,E131
11,E132
11,E133
11,E134
11,E135
11,E136
11,E137
11,E138
11,E139
11,E13X
11,E13
12,E140
12,E141
12,E142
12,E143
12,E144
12,E145
12,E146
12,E147
12,E148
12,E149
12,E14X
12,E14
13,F000
13,F001
13,F002
13,F003
13,F004
13,F005
13,F006
13,F007
13,F008
13,F009
13,F00X
13,F00
14,F010
14,F011
14,F012
14,F013
14,F014
14,F015
14,F016
14,F017
14,F018
14,F019
14,F01X
14,F01
15,F020
15,F021
15,F022
15,F023
15,F024
15,F025
15,F026
15,F027
15,F028
15,F029
15,F02X
15,F02
16,F030
16,F031
16,F032
16,F033
16,F034
16,F035
16,F036
16,F037
16,F038
16,F039
16,F03X
16,F03
17,G400
17,G401
17,G402
17,G403
17,G404
17,G405
17,G406
17,G407
17,G408
17,G409
17,G40X
17,G40
18,G410
18,G411
18,G412
18,G413
18,G414
18,G415
18,G416
18,G417
18,G418
18,G419
18,G41X
18,G41
19,I10X
20,I110
21,I119
22,I130
23,I200
23,I201
23,I202
23,I203
23,I204
23,I205
23,I206
23,I207
23,I208
23,I209
23,I20X
23,I20
24,I250
24,I251
24,I252
24,I253
24,I254
24,I255
24,I256
24,I257
24,I258
24,I259
24,I25X
24,I25
25,I480
25,I481
25,I482
25,I483
25,I484
25,I485
25,I486
25,I487
25,I488
25,I489
25,I48X
25,I48
26,I500
26,I501
26,I502
26,I503
26,I504
26,I505
26,I506
26,I507
26,I508
26,I509
26,I50X
26,I50
27,J200
27,J201
27,J202
27,J203
27,J204
27,J205
27,J206
27,J207
27,J208
27,J209
27,J20X
27,J20
28,J410
28,J411
28,J412
28,J413
28,J414
28,J415
28,J416
28,J417
28,J418
28,J419
28,J41X
28,J41
29,J42X
30,J430
30,J431
30,J432
30,J433
30,J434
30,J435
30,J436
30,J437
30,J438
30,J439
30,J43X
30,J43
31,J440
31,J441
31,J442
31,J443
31,J444
31,J445
31,J446
31,J447
31,J448
31,J449
31,J44X
31,J44
32,J450
32,J451
32,J452
32,J453
32,J454
32,J455
32,J456
32,J457
32,J458
32,J459
32,J45X
32,J45
33,J46X
34,J47X
35,J81X
