Version,condition_fuid,condition_uid,aa_ageband,sex,analysis_type,aaf
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,00-15 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,16-24 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,25-34 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,35-44 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,45-54 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,55-64 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,65-74 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,75+ Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,00-15 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,16-24 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,25-34 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,35-44 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,45-54 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,55-64 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,65-74 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,75+ Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,00-15 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,16-24 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,25-34 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,35-44 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,45-54 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,55-64 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,65-74 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,75+ Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,00-15 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,16-24 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,25-34 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,35-44 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,45-54 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,55-64 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,65-74 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcohol-induced pseudo-Cushing's syndrome.E24.4,1,75+ Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,00-15 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,16-24 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,25-34 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,35-44 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,45-54 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,55-64 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,65-74 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,75+ Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,00-15 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,16-24 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,25-34 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,35-44 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,45-54 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,55-64 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,65-74 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,75+ Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,00-15 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,16-24 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,25-34 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,35-44 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,45-54 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,55-64 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,65-74 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,75+ Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,00-15 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,16-24 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,25-34 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,35-44 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,45-54 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,55-64 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,65-74 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Mental and behavioural disorders due to use of alcohol.F10,2,75+ Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,00-15 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,16-24 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,25-34 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,35-44 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,45-54 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,55-64 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,65-74 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,75+ Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,00-15 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,16-24 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,25-34 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,35-44 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,45-54 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,55-64 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,65-74 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,75+ Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,00-15 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,16-24 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,25-34 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,35-44 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,45-54 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,55-64 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,65-74 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,75+ Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,00-15 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,16-24 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,25-34 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,35-44 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,45-54 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,55-64 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,65-74 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Degeneration of nervous system due to alcohol.G31.2,3,75+ Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,00-15 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,16-24 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,25-34 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,35-44 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,45-54 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,55-64 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,65-74 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,75+ Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,00-15 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,16-24 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,25-34 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,35-44 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,45-54 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,55-64 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,65-74 Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,75+ Yrs,M,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,00-15 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,16-24 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,25-34 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,35-44 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,45-54 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,55-64 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,65-74 Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,75+ Yrs,F,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,00-15 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,16-24 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,25-34 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,35-44 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,45-54 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,55-64 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,65-74 Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic polyneuropathy.G62.1,4,75+ Yrs,M,mortality,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,00-15 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,16-24 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,25-34 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,35-44 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,45-54 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,55-64 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,65-74 Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,75+ Yrs,F,morbidity,1
aaf_2007_ni39,Wholly attributable conditions.Wholly attributable conditions.Alcoholic myopathy.G72.1,5,00-15 Yrs,M,morbidity,1
