condition_uid,icd10
1,C330
1,C331
1,C332
1,C333
1,C334
1,C335
1,C336
1,C337
1,C338
1,C339
1,C33X
1,C33
1,C340
1,C341
1,C342
1,C343
1,C344
1,C345
1,C346
1,C347
1,C348
1,C349
1,C34X
1,C34
2,C000
2,C001
2,C002
2,C003
2,C004
2,C005
2,C006
2,C007
2,C008
2,C009
2,C00X
2,C00
2,C010
2,C011
2,C012
2,C013
2,C014
2,C015
2,C016
2,C017
2,C018
2,C019
2,C01X
2,C01
2,C020
2,C021
2,C022
2,C023
2,C024
2,C025
2,C026
2,C027
2,C028
2,C029
2,C02X
2,C02
2,C030
2,C031
2,C032
2,C033
2,C034
2,C035
2,C036
2,C037
2,C038
2,C039
2,C03X
2,C03
2,C040
2,C041
2,C042
2,C043
2,C044
2,C045
2,C046
2,C047
2,C048
2,C049
2,C04X
2,C04
2,C050
2,C051
2,C052
2,C053
2,C054
2,C055
2,C056
2,C057
2,C058
2,C059
2,C05X
2,C05
2,C060
2,C061
2,C062
2,C063
2,C064
2,C065
2,C066
2,C067
2,C068
2,C069
2,C06X
2,C06
2,C070
2,C071
2,C072
2,C073
2,C074
2,C075
2,C076
2,C077
2,C078
2,C079
2,C07X
2,C07
2,C080
2,C081
2,C082
2,C083
2,C084
2,C085
2,C086
2,C087
2,C088
2,C089
2,C08X
2,C08
2,C090
2,C091
2,C092
2,C093
2,C094
2,C095
2,C096
2,C097
2,C098
2,C099
2,C09X
2,C09
2,C100
2,C101
2,C102
2,C103
2,C104
2,C105
2,C106
2,C107
2,C108
2,C109
2,C10X
2,C10
2,C110
2,C111
2,C112
2,C113
2,C114
2,C115
2,C116
2,C117
2,C118
2,C119
2,C11X
2,C11
2,C120
2,C121
2,C122
2,C123
2,C124
2,C125
2,C126
2,C127
2,C128
2,C129
2,C12X
2,C12
2,C130
2,C131
2,C132
2,C133
2,C134
2,C135
2,C136
2,C137
2,C138
2,C139
2,C13X
2,C13
2,C140
2,C141
2,C142
2,C143
2,C144
2,C145
2,C146
2,C147
2,C148
2,C149
2,C14X
2,C14
3,C150
3,C151
3,C152
3,C153
3,C154
3,C155
3,C156
3,C157
3,C158
3,C159
3,C15X
3,C15
4,C320
4,C321
4,C322
4,C323
4,C324
4,C325
4,C326
4,C327
4,C328
4,C329
4,C32X
4,C32
5,C530
5,C531
5,C532
5,C533
5,C534
5,C535
5,C536
5,C537
5,C538
5,C539
5,C53X
5,C53
6,C670
6,C671
6,C672
6,C673
6,C674
6,C675
6,C676
6,C677
