condition_uid,icd10
1,J400
1,J401
1,J402
1,J403
1,J404
1,J405
1,J406
1,J407
1,J408
1,J409
1,J40X
1,J40
1,J410
1,J411
1,J412
1,J413
1,J414
1,J415
1,J416
1,J417
1,J418
1,J419
1,J41X
1,J41
1,J420
1,J421
1,J422
1,J423
1,J424
1,J425
1,J426
1,J427
1,J428
1,J429
1,J42X
1,J42
1,J430
1,J431
1,J432
1,J433
1,J434
1,J435
1,J436
1,J437
1,J438
1,J439
1,J43X
1,J43
1,J440
1,J441
1,J442
1,J443
1,J444
1,J445
1,J446
1,J447
1,J448
1,J449
1,J44X
1,J44
2,F000
2,F001
2,F002
2,F003
2,F004
2,F005
2,F006
2,F007
2,F008
2,F009
2,F00X
2,F00
2,F010
2,F011
2,F012
2,F013
2,F014
2,F015
2,F016
2,F017
2,F018
2,F019
2,F01X
2,F01
2,F020
2,F021
2,F022
2,F023
2,F024
2,F025
2,F026
2,F027
2,F028
2,F029
2,F02X
2,F02
2,F030
2,F031
2,F032
2,F033
2,F034
2,F035
2,F036
2,F037
2,F038
2,F039
2,F03X
2,F03
2,F040
2,F041
2,F042
2,F043
2,F044
2,F045
2,F046
2,F047
2,F048
2,F049
2,F04X
2,F04
2,F050
2,F051
2,F052
2,F053
2,F054
2,F055
2,F056
2,F057
2,F058
2,F059
2,F05X
2,F05
2,F060
2,F061
2,F062
2,F063
2,F064
2,F065
2,F066
2,F067
2,F068
2,F069
2,F06X
2,F06
2,F070
2,F071
2,F072
2,F073
2,F074
2,F075
2,F076
2,F077
2,F078
2,F079
2,F07X
2,F07
2,F080
2,F081
2,F082
2,F083
2,F084
2,F085
2,F086
2,F087
2,F088
2,F089
2,F08X
2,F08
2,F090
2,F091
2,F092
2,F093
2,F094
2,F095
2,F096
2,F097
2,F098
2,F099
2,F09X
2,F09
2,F100
2,F101
2,F102
2,F103
2,F104
2,F105
2,F106
2,F107
2,F108
2,F109
2,F10X
2,F10
2,F110
2,F111
2,F112
2,F113
2,F114
2,F115
2,F116
2,F117
2,F118
2,F119
2,F11X
2,F11
2,F120
2,F121
2,F122
2,F123
2,F124
2,F125
2,F126
2,F127
2,F128
2,F129
2,F12X
2,F12
2,F130
2,F131
2,F132
2,F133
2,F134
2,F135
2,F136
2,F137
2,F138
2,F139
2,F13X
2,F13
2,F140
2,F141
2,F142
2,F143
2,F144
2,F145
2,F146
2,F147
2,F148
2,F149
2,F14X
2,F14
2,F150
2,F151
2,F152
2,F153
2,F154
2,F155
2,F156
2,F157
2,F158
2,F159
2,F15X
2,F15
2,F160
2,F161
2,F162
2,F163
2,F164
2,F165
2,F166
2,F167
2,F168
2,F169
2,F16X
2,F16
2,F170
2,F171
2,F172
2,F173
2,F174
2,F175
2,F176
2,F177
2,F178
2,F179
2,F17X
2,F17
2,F180
2,F181
2,F182
2,F183
2,F184
2,F185
2,F186
2,F187
2,F188
2,F189
2,F18X
2,F18
2,F190
2,F191
2,F192
2,F193
2,F194
2,F195
2,F196
2,F197
2,F198
2,F199
2,F19X
2,F19
2,F200
2,F201
2,F202
2,F203
2,F204
2,F205
2,F206
2,F207
2,F208
2,F209
2,F20X
2,F20
2,F210
2,F211
2,F212
2,F213
2,F214
2,F215
2,F216
2,F217
2,F218
2,F219
2,F21X
2,F21
2,F220
2,F221
2,F222
2,F223
2,F224
2,F225
2,F226
2,F227
2,F228
2,F229
2,F22X
2,F22
2,F230
2,F231
2,F232
2,F233
2,F234
2,F235
2,F236
2,F237
2,F238
2,F239
2,F23X
2,F23
2,F240
2,F241
2,F242
2,F243
2,F244
2,F245
2,F246
2,F247
2,F248
2,F249
2,F24X
2,F24
2,F250
2,F251
2,F252
2,F253
2,F254
2,F255
2,F256
2,F257
2,F258
2,F259
2,F25X
2,F25
2,F260
2,F261
2,F262
2,F263
2,F264
2,F265
2,F266
2,F267
2,F268
2,F269
2,F26X
2,F26
2,F270
2,F271
2,F272
2,F273
2,F274
2,F275
2,F276
2,F277
2,F278
2,F279
2,F27X
2,F27
2,F280
2,F281
2,F282
2,F283
2,F284
2,F285
2,F286
2,F287
2,F288
2,F289
2,F28X
2,F28
2,F290
2,F291
2,F292
2,F293
2,F294
2,F295
2,F296
2,F297
2,F298
2,F299
2,F29X
2,F29
2,F300
2,F301
2,F302
2,F303
2,F304
2,F305
2,F306
2,F307
2,F308
2,F309
2,F30X
2,F30
2,F310
2,F311
2,F312
2,F313
2,F314
2,F315
2,F316
2,F317
2,F318
2,F319
2,F31X
2,F31
2,F320
2,F321
2,F322
2,F323
2,F324
2,F325
2,F326
2,F327
2,F328
2,F329
2,F32X
2,F32
2,F330
2,F331
2,F332
2,F333
2,F334
2,F335
2,F336
2,F337
2,F338
2,F339
2,F33X
2,F33
2,F340
2,F341
2,F342
2,F343
2,F344
2,F345
2,F346
2,F347
2,F348
2,F349
2,F34X
2,F34
2,F350
2,F351
2,F352
2,F353
2,F354
2,F355
2,F356
2,F357
2,F358
2,F359
2,F35X
2,F35
2,F360
2,F361
2,F362
2,F363
2,F364
2,F365
2,F366
2,F367
2,F368
2,F369
2,F36X
2,F36
2,F370
2,F371
2,F372
2,F373
2,F374
2,F375
2,F376
2,F377
2,F378
2,F379
2,F37X
2,F37
2,F380
2,F381
2,F382
2,F383
2,F384
2,F385
2,F386
2,F387
2,F388
2,F389
2,F38X
2,F38
2,F390
2,F391
2,F392
2,F393
2,F394
2,F395
2,F396
2,F397
2,F398
2,F399
2,F39X
2,F39
2,F400
2,F401
2,F402
2,F403
2,F404
2,F405
2,F406
2,F407
2,F408
2,F409
2,F40X
2,F40
2,F410
2,F411
2,F412
2,F413
2,F414
2,F415
2,F416
2,F417
2,F418
2,F419
