condition_uid,age,sex,smoking_status,srr
1,35+,men,current_smokers,23.26
2,35+,men,current_smokers,10.89
3,35+,men,current_smokers,6.76
4,35+,men,current_smokers,14.6
5,35+,men,current_smokers,1
6,35+,men,current_smokers,3.27
7,35+,men,current_smokers,2.5
8,35+,men,current_smokers,1.96
9,35+,men,current_smokers,2.31
10,35+,men,current_smokers,4.4
11,35+,men,current_smokers,1.8
12,35+,men,current_smokers,17.1
13,35+,men,current_smokers,10.58
14,35 - 64,men,current_smokers,2.5
14,65+,men,current_smokers,2
15,35+,men,current_smokers,1.78
16,35 - 54,men,current_smokers,4.2
16,55 - 64,men,current_smokers,2.5
16,65 - 74,men,current_smokers,1.8
16,75+,men,current_smokers,1.4
17,35+,men,current_smokers,2.07
18,35 - 54,men,current_smokers,4.4
18,55 - 64,men,current_smokers,3.1
18,65 - 74,men,current_smokers,2.2
18,75+,men,current_smokers,1.6
19,35+,men,current_smokers,6.21
20,35+,men,current_smokers,2.44
21,35+,men,current_smokers,5.4
22,35+,men,current_smokers,2.1
23,35+,men,current_smokers,3.97
24,45+,men,current_smokers,1.54
25,55 - 64,men,current_smokers,1.17
25,65 - 74,men,current_smokers,1.41
25,75+,men,current_smokers,1.76
26,35+,men,current_smokers,
1,35+,men,ex_smokers,8.7
2,35+,men,ex_smokers,3.4
3,35+,men,ex_smokers,4.46
4,35+,men,ex_smokers,6.34
5,35+,men,ex_smokers,1
6,35+,men,ex_smokers,2.09
7,35+,men,ex_smokers,1.7
8,35+,men,ex_smokers,1.47
9,35+,men,ex_smokers,1.15
10,35+,men,ex_smokers,2.5
11,35+,men,ex_smokers,1.4
12,35+,men,ex_smokers,15.64
13,35+,men,ex_smokers,6.8
14,35 - 64,men,ex_smokers,1.4
14,65+,men,ex_smokers,1.4
15,35+,men,ex_smokers,1.22
16,35 - 54,men,ex_smokers,2
16,55 - 64,men,ex_smokers,1.6
16,65 - 74,men,ex_smokers,1.3
16,75+,men,ex_smokers,1.1
17,35+,men,ex_smokers,1.01
18,35 - 54,men,ex_smokers,1.1
18,55 - 64,men,ex_smokers,1.1
18,65 - 74,men,ex_smokers,1.1
18,75+,men,ex_smokers,1.1
19,35+,men,ex_smokers,3.07
20,35+,men,ex_smokers,1.33
21,35+,men,ex_smokers,1.8
22,35+,men,ex_smokers,1
23,35+,men,ex_smokers,1.68
24,45+,men,ex_smokers,1.11
25,55 - 64,men,ex_smokers,1.02
25,65 - 74,men,ex_smokers,1.08
25,75+,men,ex_smokers,1.14
26,35+,men,ex_smokers,
1,35+,women,current_smokers,12.69
2,35+,women,current_smokers,5.08
3,35+,women,current_smokers,7.75
4,35+,women,current_smokers,13.02
5,35+,women,current_smokers,1.59
6,35+,women,current_smokers,2.22
7,35+,women,current_smokers,1.4
8,35+,women,current_smokers,1.36
9,35+,women,current_smokers,2.25
10,35+,women,current_smokers,2.2
11,35+,women,current_smokers,1.2
12,35+,women,current_smokers,12.04
13,35+,women,current_smokers,13.08
14,35 - 64,women,current_smokers,4.3
14,65+,women,current_smokers,2.2
15,35+,women,current_smokers,1.49
16,35 - 54,women,current_smokers,5.3
16,55 - 64,women,current_smokers,2.8
16,65 - 74,women,current_smokers,2.1
16,75+,women,current_smokers,1.4
17,35+,women,current_smokers,2.17
18,35 - 54,women,current_smokers,5.4
18,55 - 64,women,current_smokers,3.7
18,65 - 74,women,current_smokers,2.6
18,75+,women,current_smokers,1.3
19,35+,women,current_smokers,7.07
20,35+,women,current_smokers,1.83
21,35+,women,current_smokers,5.5
22,35+,women,current_smokers,2.1
23,35+,women,current_smokers,3.97
24,45+,women,current_smokers,1.54
25,55 - 64,women,current_smokers,1.17
25,65 - 74,women,current_smokers,1.41
25,75+,women,current_smokers,1.85
26,35+,women,current_smokers,1.28
1,35+,women,ex_smokers,4.53
2,35+,women,ex_smokers,2.29
3,35+,women,ex_smokers,2.79
4,35+,women,ex_smokers,5.16
5,35+,women,ex_smokers,1.14
6,35+,women,ex_smokers,1.89
7,35+,women,ex_smokers,1.1
8,35+,women,ex_smokers,1.32
9,35+,women,ex_smokers,1.55
10,35+,women,ex_smokers,1.3
11,35+,women,ex_smokers,1.3
12,35+,women,ex_smokers,11.77
13,35+,women,ex_smokers,6.78
14,35 - 64,women,ex_smokers,1.1
14,65+,women,ex_smokers,1.1
15,35+,women,ex_smokers,1.14
16,35 - 54,women,ex_smokers,2.6
16,55 - 64,women,ex_smokers,1.1
16,65 - 74,women,ex_smokers,1.2
16,75+,women,ex_smokers,1.2
17,35+,women,ex_smokers,1.12
18,35 - 54,women,ex_smokers,1.3
18,55 - 64,women,ex_smokers,1.3
18,65 - 74,women,ex_smokers,1.3
18,75+,women,ex_smokers,1
19,35+,women,ex_smokers,2.07
20,35+,women,ex_smokers,1
21,35+,women,ex_smokers,1.4
22,35+,women,ex_smokers,1
23,35+,women,ex_smokers,1.68
24,45+,women,ex_smokers,1.11
25,55 - 64,women,ex_smokers,1.02
25,65 - 74,women,ex_smokers,1.08
25,75+,women,ex_smokers,1.22
26,35+,women,ex_smokers,
